ID,Index,MV,RV
cao (415),Normal kernel number,280,242
cao (416),Normal kernel number,330,244
cao (417),Normal kernel number,203,182
cao (418),Normal kernel number,215,210
cao (419),Normal kernel number,185,208
cao (420),Normal kernel number,371,314
cao (421),Normal kernel number,306,288
cao (423),Normal kernel number,177,192
cao (7),Normal kernel number,283,200
cao (8),Normal kernel number,171,160
21,Number of kernels per row,14,14
173,Number of kernels per row,15,14.66666667
190,Number of kernels per row,22,21.66666667
191,Number of kernels per row,18,17.33333333
192,Number of kernels per row,25,20.66666667
193,Number of kernels per row,23,18.66666667
194,Number of kernels per row,16,16
195,Number of kernels per row,20,18.33333333
201,Number of kernels per row,15,13.66666667
202,Number of kernels per row,17,18
219,Number of kernels per row,15,14.66666667
233,Number of kernels per row,29,23.33333333
235,Number of kernels per row,32,24
304,Number of kernels per row,17,17
305,Number of kernels per row,16,14.66666667
308,Number of kernels per row,21,16.33333333
313,Number of kernels per row,23,20.66666667
314,Number of kernels per row,29,23.33333333
315,Number of kernels per row,21,15.66666667
320,Number of kernels per row,20,15
321,Number of kernels per row,21,18
323,Number of kernels per row,22,15.66666667
325,Number of kernels per row,17,12.66666667
326,Number of kernels per row,19,19.33333333
327,Number of kernels per row,19,15
328,Number of kernels per row,23,18.33333333
329,Number of kernels per row,21,15.66666667
330,Number of kernels per row,25,21.33333333
331,Number of kernels per row,22,20
332,Number of kernels per row,26,26
333,Number of kernels per row,22,20
334,Number of kernels per row,24,17.33333333
335,Number of kernels per row,30,28
336,Number of kernels per row,21,20
341,Number of kernels per row,19,15
342,Number of kernels per row,34,27.66666667
343,Number of kernels per row,17,14.66666667
344,Number of kernels per row,27,25.66666667
346,Number of kernels per row,29,25
347,Number of kernels per row,18,16.33333333
348,Number of kernels per row,20,20.66666667
349,Number of kernels per row,20,18
350,Number of kernels per row,28,26
361,Number of kernels per row,12,10.33333333
362,Number of kernels per row,16,14.66666667
363,Number of kernels per row,24,24.66666667
364,Number of kernels per row,16,15.33333333
365,Number of kernels per row,22,23.33333333
366,Number of kernels per row,18,18.66666667
367,Number of kernels per row,26,22.66666667
368,Number of kernels per row,31,26.66666667
369,Number of kernels per row,20,18
370,Number of kernels per row,20,18
1 (1),Number of kernels per row,13,15
1 (10),Number of kernels per row,12,10.33333333
1 (11),Number of kernels per row,10,11
1 (12),Number of kernels per row,16,15
1 (13),Number of kernels per row,10,12.33333333
1 (14),Number of kernels per row,10,9.666666667
1 (15),Number of kernels per row,25,25.33333333
1 (16),Number of kernels per row,9,11.66666667
1 (17),Number of kernels per row,9,11.66666667
1 (18),Number of kernels per row,11,11.66666667
1 (19),Number of kernels per row,19,14
1 (2),Number of kernels per row,11,11.66666667
1 (20),Number of kernels per row,24,20.66666667
1 (21),Number of kernels per row,14,11
1 (22),Number of kernels per row,6,8.666666667
1 (23),Number of kernels per row,16,12.33333333
1 (24),Number of kernels per row,10,10
1 (25),Number of kernels per row,19,17.66666667
1 (26),Number of kernels per row,8,8.333333333
1 (27),Number of kernels per row,15,13.66666667
1 (28),Number of kernels per row,14,16.66666667
1 (29),Number of kernels per row,17,17
1 (3),Number of kernels per row,17,19
1 (30),Number of kernels per row,16,13.66666667
1 (31),Number of kernels per row,11,11
1 (32),Number of kernels per row,12,12.66666667
