"","ASV","YSI","rASV","rYSI","means"
"0130821014",0.40286547597836,1268,159,1109,241.388632111922
"0130821019",1.77604282168763,2743,1229,1514,223.601132281656
"0130821021",0.899859097568848,2057,563,1494,226.212352190719
"0132021009",0.446772945854256,1245,184,1061,242.222760198341
"0132021010",1.33477274392985,1036,956,80,257.238498514039
"0132021015",2.59162495667969,2656,1458,1198,239.91523286148
"0132021024",1.14725061543969,1814,797,1017,242.864183037846
"0132021034",0.716520993798839,1490,401,1089,241.783431935555
"0133021001",1.63865770782577,2433,1159,1274,238.283279732246
"0133021008",0.428011928570706,1634,172,1462,229.93564622127
"0133021016",1.96823301901192,2234,1288,946,243.875989475234
"0133021020",1.15206661042168,2234,801,1433,232.610817517565
"0133021028",0.495287585461735,1745,219,1526,221.120997355668
"0138521001",0.518736715588115,854,241,613,248.553790842079
"0138521005",0.558368125396233,1784,281,1503,224.968415141482
"0138521016",1.0202954805109,2245,674,1571,209.963882037332
"0138521033",1.75793937615875,2714,1219,1495,226.133618455223
"0138521038",0.43644709481064,1701,177,1524,221.911566856187
"0139321008",0.232155395678089,254,58,196,254.356449011071
"0139321015",1.1182771671404,870,769,101,256.461890930263
"0139321020",1.9647728353609,2079,1284,795,246.014181715096
"0139321029",0.76578582642606,1044,434,610,248.613521221267
"0139321035",0.638528160049412,873,340,533,249.593997411746
"0140871007",0.675582169585636,1152,365,787,246.114973381763
"0140871028",1.209238638925,1354,844,510,249.81117596313
"0140871030",0.376938342118922,598,135,463,250.377803227844
"0140871037",0.529954485107719,1404,251,1153,240.63315680328
"0140871039",1.08788923592172,1286,733,553,249.281686765602
"0141171032",0.425716791137081,1448,170,1278,238.196890736016
"0141171052",0.390875685555634,1527,147,1380,235.114866900278
"0141171064",0.361350122112676,836,122,714,247.08567476746
"0141171067",1.17800128942982,1544,820,724,246.962873734496
"0141171097",0.924723507802371,1464,587,877,244.900120868534
"0146271015",0.846203328862525,890,511,379,251.245587298711
"0146271035",0.961112351993898,1847,616,1231,239.245257552841
"0146271051",1.04134868136763,2058,691,1367,235.734191635731
"0146271055",1.50727597162969,2549,1077,1472,228.559271435156
"0146271058",0.370781285435174,1069,127,942,243.90630451051
"0147071016",1.54946103175773,1403,1101,302,252.682628364126
"0147071028",1.21665652782795,1751,853,898,244.558642693931
"0147071050",0.383948186978216,428,140,288,252.912940492804
"0147071055",1.63981534396577,1868,1160,708,247.17345221774
"0147071103",1.11972250399401,969,771,198,254.33141606254
"0150171011",0.630593017453611,1071,333,738,246.750831967623
"0150171020",0.699667363176507,779,380,399,251.077387182467
"0150171021",0.506058893622479,302,228,74,257.547090665713
"0150171023",0.978906680067262,929,634,295,252.770635859719
"0150171024",1.78959083158509,1458,1233,225,253.728199131323
"0150971023",0.794579675279021,1433,462,971,243.576094654008
"0150971047",1.5191036537717,1588,1084,504,249.895685903807
"0150971075",0.259695475626322,428,72,356,251.57871610663
"0150971077",0.57124334172019,1507,288,1219,239.447300101337
"0150971080",0.833336797674699,667,499,168,254.811644016683
"0152721029",1.04433008861287,1958,693,1265,238.503830083701
"0152721038",1.64558354306125,2483,1165,1318,237.182339956335
"0152721046",0.470846682331945,1457,201,1256,238.657865256863
"0152721052",1.76811157110452,2471,1226,1245,238.942995991641
"0152721071",0.533216144016942,1204,256,948,243.851727214351
"0153021004",2.0440796164111,2761,1314,1447,231.446531161944
"0153021012",0.385935453706441,1444,143,1301,237.634303448302
"0153021020",0.622907616743671,1805,325,1480,227.415471618096
"0153021037",0.152279103777562,930,23,907,244.417796333501
"0153021050",0.149812453239861,805,21,784,246.186697287487
"0154021006",3.03071280521627,1807,1541,266,253.174405260069
"0154021016",0.7527335490337,807,426,381,251.231636300634
"0154021021",0.959559081962464,631,615,16,260.788097940845
"0154021033",1.11926541580685,811,770,41,258.933855877353
"0154021074",1.5764282678523,1914,1123,791,246.063182131054
"0160221013",1.00077922725073,1045,655,390,251.190043308728
"0160221016",1.43920496964897,1169,1032,137,255.558791308902
"0160221020",0.433145609154929,482,175,307,252.641524247565
"0160221031",1.13901991443174,1526,786,740,246.717277835024
"0160221051",0.630505964966819,770,332,438,250.65181641527
"0160821001",1.60945051374757,1806,1143,663,247.850747795402
"0160821007",0.991510195465855,1353,647,706,247.24783385881
"0160821012",1.35217881068145,1112,974,138,255.529738407164
"0160821015",2.7563217132919,1535,1489,46,258.689775449587
"0160821018",2.5341307090468,2092,1447,645,248.097020116764
"0162821017",0.686693384502557,437,370,67,257.771675421962
"0162821019",1.30547990774012,1801,933,868,245.022690096957
"0162821021",0.6562361799812,823,350,473,250.23859735555
"0162821023",1.18664702402957,2246,825,1421,233.433585103704
"0162821043",1.09953205066692,909,747,162,254.889842269519
"0164121059",1.11379260815476,1203,762,441,250.614875561751
